ID_KEL	Nama_provinsi	nama_kota	nama_kecamatan	nama_kelurahan	POSITIF	Dirawat	Sembuh	Meninggal	Self Isolation	Keterangan																						
3174031005	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	KUNINGAN BARAT	1393	1	1375	9	8																							
3174021008	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	KUNINGAN TIMUR	2393	1	2364	9	19																							
3171041005	DKI JAKARTA	JAKARTA PUSAT	SENEN	KWITANG	1684	0	1653	26	5																							
3172031003	DKI JAKARTA	JAKARTA UTARA	KOJA	LAGOA	4881	0	4784	86	11																							
3174061002	DKI JAKARTA	JAKARTA SELATAN	CILANDAK	LEBAK BULUS	6410	8	6260	58	84																							
3174091004	DKI JAKARTA	JAKARTA SELATAN	JAGAKARSA	LENTENG AGUNG	5651	1	5568	71	11																							
LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	LUAR DKI JAKARTA	116883	39	114944	668	1232																							
3175101007	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	LUBANG BUAYA	7521	0	7425	80	16																							
3175081001	DKI JAKARTA	JAKARTA TIMUR	MAKASAR	MAKASAR	4729	0	4654	67	8																							
3175071006	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA JAYA	4312	0	4233	65	14																							
3175071005	DKI JAKARTA	JAKARTA TIMUR	DUREN SAWIT	MALAKA SARI	4172	0	4076	72	24																							
3174031001	DKI JAKARTA	JAKARTA SELATAN	MAMPANG PRAPATAN	MAMPANG PRAPATAN	2995	1	2941	35	18																							
3173031005	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MANGGA BESAR	1279	2	1252	15	10																							
3171021005	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	MANGGA DUA SELATAN	2995	1	2938	41	15																							
3174011007	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI	2511	1	2478	29	3																							
3174011006	DKI JAKARTA	JAKARTA SELATAN	TEBET	MANGGARAI SELATAN	2708	1	2650	47	10																							
3173031003	DKI JAKARTA	JAKARTA BARAT	TAMAN SARI	MAPHAR	1973	0	1927	33	13																							
3172041003	DKI JAKARTA	JAKARTA UTARA	CILINCING	MARUNDA	1627	0	1605	22	0																							
3174071001	DKI JAKARTA	JAKARTA SELATAN	KEBAYORAN BARU	MELAWAI	730	2	714	5	9																							
3171061001	DKI JAKARTA	JAKARTA PUSAT	MENTENG	MENTENG	3208	5	3138	35	30																							
3174021005	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	MENTENG ATAS	3839	0	3764	51	24																							
3174011003	DKI JAKARTA	JAKARTA SELATAN	TEBET	MENTENG DALAM	4820	1	4710	56	53																							
3173081003	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA SELATAN	4526	1	4448	50	27																							
3173081002	DKI JAKARTA	JAKARTA BARAT	KEMBANGAN	MERUYA UTARA	6041	4	5895	65	77																							
3175101004	DKI JAKARTA	JAKARTA TIMUR	CIPAYUNG	MUNJUL	3521	0	3475	37	9																							
3172051002	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN BARAT	7006	2	6894	88	22																							
3172051001	DKI JAKARTA	JAKARTA UTARA	PADEMANGAN	PADEMANGAN TIMUR	8054	1	7938	74	41																							
3175011004	DKI JAKARTA	JAKARTA TIMUR	MATRAMAN	PAL MERIAM	2379	0	2335	33	11																							
3173071001	DKI JAKARTA	JAKARTA BARAT	PALMERAH	PALMERAH	7771	4	7587	138	42																							
3174081001	DKI JAKARTA	JAKARTA SELATAN	PANCORAN	PANCORAN	2919	2	2865	34	18																							
3172021003	DKI JAKARTA	JAKARTA UTARA	TANJUNG PRIOK	PAPANGGO	3337	1	3279	38	19																							
3171021001	DKI JAKARTA	JAKARTA PUSAT	SAWAH BESAR	PASAR BARU	2457	3	2415	25	14																							
3174021006	DKI JAKARTA	JAKARTA SELATAN	SETIA BUDI	PASAR MANGGIS	2926	0	2859	57	10																							
3174041001	DKI JAKARTA	JAKARTA SELATAN	PASAR MINGGU	PASAR MINGGU	4628	0	4532	58	38																							
3171041003	DKI JAKARTA	JAKARTA PUSAT	SENEN	PASEBAN	3646	0	3596	42	8																							
3173061005	DKI JAKARTA	JAKARTA BARAT	KALI DERES	PEGADUNGAN	7754	10	7609	65	70																							
3171061002	DKI JAKARTA	JAKARTA PUSAT	MENTENG	PEGANGSAAN	2841	0	2779	54	8																							
